,H0_standard_dz_0_003,standard_dz_0_003,H0_standard_dz_0_03,standard_dz_0_03,H0_corrected_dz_0_003,corrected_dz_0_003,H0_corrected_dz_0_03,corrected_dz_0_03,H0_perfz,perfz
556,71.13113113113113,9.290855232245358e-06,71.13113113113113,3.025349477978372e-10,70.56556556556556,0.1285336178973593,71.13113113113113,0.18243536273543945,70.56556556556556,0.03078844049358982
557,71.15115115115115,6.2562635498225515e-06,71.15115115115115,3.6179668908162714e-10,70.57557557557557,0.12039126449455506,71.15115115115115,0.18251685311962648,70.57557557557557,0.027438478552415515
558,71.17117117117117,4.1860568151366605e-06,71.17117117117117,4.3236349848179505e-10,70.58558558558559,0.11266024801091032,71.17117117117117,0.18258283157040994,70.58558558558559,0.02441268714533602
559,71.1911911911912,2.783082477788637e-06,71.1911911911912,5.16332253530249e-10,70.5955955955956,0.10532805399629679,71.1911911911912,0.18263330711221185,70.5955955955956,0.0216847475058761
560,71.21121121121121,1.838561009018758e-06,71.21121121121121,6.16177271509096e-10,70.6056056056056,0.09838189770824574,71.21121121121121,0.18266829270759172,70.6056056056056,0.01922987136324232
561,71.23123123123123,1.206871853726285e-06,71.23123123123123,7.348160910990243e-10,70.61561561561561,0.09180878825669903,71.23123123123123,0.18268780524196754,70.61561561561561,0.01702478414734265
562,71.25125125125125,7.871827187440895e-07,71.25125125125125,8.7568632362365e-10,70.62562562562563,0.08559558942764145,71.25125125125125,0.18269186550565958,70.62562562562563,0.015047698323645928
563,71.27127127127127,5.101775656614686e-07,71.27127127127127,1.0428353662068512e-09,70.63563563563564,0.07972907707715605,71.27127127127127,0.1826804981730706,70.63563563563564,0.013278278223046485
564,71.29129129129129,3.285479114962686e-07,71.29129129129129,1.2410250471329276e-09,70.64564564564564,0.07419599301622551,71.29129129129129,0.18265373178350106,70.64564564564564,0.011697597668418455
565,71.31131131131131,2.102363201697371e-07,71.31131131131131,1.475853592734721e-09,70.65565565565565,0.06898309533559882,71.31131131131131,0.18261159871608157,70.65565565565565,0.010288091627913715
566,71.33133133133133,1.336745090961316e-07,71.33133133133133,1.7538976709362002e-09,70.66566566566567,0.06407720514422963,71.33133133133133,0.18255413516717606,70.66566566566567,0.009033503046108598
567,71.35135135135135,8.445422858284643e-08,71.35135135135135,2.082877685640728e-09,70.67567567567568,0.059465249721432745,71.35135135135135,0.18248138112317033,70.67567567567568,0.007918825920172344
568,71.37137137137137,5.3018359388434385e-08,71.37137137137137,2.4718499757568065e-09,70.68568568568568,0.05513430210348093,71.37137137137137,0.18239338033500227,70.68568568568568,0.006930245601373939
569,71.3913913913914,3.307222300011653e-08,71.3913913913914,2.9314301210647276e-09,70.69569569569569,0.051071617148078986,71.3913913913914,0.18229018028781066,70.69569569569569,0.006055077213385903
570,71.41141141141141,2.0499007858490735e-08,71.41141141141141,3.47405218357954e-09,70.70570570570571,0.04726466413830102,71.41141141141141,0.18217183217060418,70.70570570570571,0.005281702989955028
571,71.43143143143143,1.2625098673266398e-08,71.43143143143143,4.114269428051287e-09,70.71571571571572,0.04370115600490708,71.43143143143143,0.18203839084563322,70.71571571571572,0.004599509246741443
572,71.45145145145145,7.726260354539888e-09,71.45145145145145,4.869102880418119e-09,70.72572572572572,0.040369075262272305,71.45145145145145,0.18188991481478345,70.72572572572572,0.00399882361625211
573,71.47147147147147,4.698255684846526e-09,71.47147147147147,5.758445011635525e-09,70.73573573573573,0.03725669676512888,71.47147147147147,0.18172646618490393,70.73573573573573,0.003470853092312245
574,71.49149149149149,2.838813371905648e-09,71.49149149149149,6.805526890998006e-09,70.74574574574575,0.034352607406957815,71.49149149149149,0.18154811063250428,70.74574574574575,0.003007623351562154
575,71.51151151151151,1.704394228125776e-09,71.51151151151151,8.037458354476357e-09,70.75575575575576,0.03164572288957375,71.51151151151151,0.18135491736575415,70.75575575575576,0.002601919745115117
576,71.53153153153153,1.016802062916027e-09,71.53153153153153,9.485852098048999e-09,70.76576576576576,0.029125301702107472,71.53153153153153,0.18114695908743622,70.76576576576576,0.002247230283915237
577,71.55155155155155,6.027484007818842e-10,71.55155155155155,1.118754415428504e-08,70.77577577577577,0.026780956454480708,71.55155155155155,0.1809243119531927,70.77577577577577,0.0019376908770790777
578,71.57157157157157,3.5503333503216717e-10,71.57157157157157,1.318542496535742e-08,70.78578578578579,0.02460266271545626,71.57157157157157,0.1806870555323654,70.78578578578579,0.0016680330234576408
579,71.5915915915916,2.07795312892181e-10,71.5915915915916,1.552939725305836e-08,70.7957957957958,0.022580765508627955,71.5915915915916,0.18043527276558585,70.7957957957958,0.0014335341032870592
580,71.61161161161161,1.2084704768643918e-10,71.61161161161161,1.8277479134507726e-08,70.8058058058058,0.020705983622513732,71.61161161161161,0.1801690499201988,70.8058058058058,0.0012299703687459833
581,71.63163163163163,6.983452087987105e-11,71.63163163163163,2.1497073473026526e-08,70.81581581581581,0.01896941189131355,71.63163163163163,0.1798884765469105,70.81581581581581,0.001053572689719306
582,71.65165165165165,4.0099431761097234e-11,71.65165165165165,2.526642732188556e-08,70.82582582582583,0.017362521602863588,71.65165165165165,0.17959364543300185,70.82582582582583,0.0009009850736422649
583,71.67167167167167,2.2879174928798398e-11,71.67167167167167,2.9676308553618146e-08,70.83583583583584,0.015877159188987272,71.67167167167167,0.17928465255709158,70.83583583583584,0.0007692259460386078
584,71.69169169169169,1.297109713120064e-11,71.69169169169169,3.483193041189497e-08,70.84584584584584,0.01450554335084916,71.69169169169169,0.17896159704023037,70.84584584584584,0.0006556521507000975
585,71.71171171171171,7.307139666892437e-12,71.71171171171171,4.085515882466902e-08,70.85585585585585,0.013240260768896608,71.71171171171171,0.178624581096831,70.85585585585585,0.0005579256053878497
586,71.73173173173173,4.0902756968117734e-12,71.73173173173173,4.788704192821343e-08,70.86586586586587,0.012074260542757662,71.73173173173173,0.17827370998529546,70.86586586586587,0.0004739825298850284
587,71.75175175175175,2.2750574256540025e-12,71.75175175175175,5.609070643028453e-08,70.87587587587588,0.011000847501855742,71.75175175175175,0.1779090919579528,70.87587587587588,0.00040200514804162175
588,71.77177177177177,1.2573809753512307e-12,71.77177177177177,6.565467124956535e-08,70.88588588588588,0.01001367452203682,71.77177177177177,0.1775308382059965,70.88588588588588,0.00034039575366398496
589,71.7917917917918,6.905200264699338e-13,71.7917917917918,7.679663537853092e-08,70.89589589589589,0.009106733977855478,71.7917917917918,0.1771390628120578,70.89589589589589,0.0002877530214335978
590,71.81181181181181,3.768084864640091e-13,71.81181181181181,8.976780420309046e-08,70.90590590590591,0.008274348453758943,71.81181181181181,0.17673388269159962,70.90590590590591,0.00024285043809557275
591,71.83183183183183,2.0431497890764537e-13,71.83183183183183,1.0485782665986595e-07,70.91591591591592,0.007511160831119033,71.83183183183183,0.17631541754109303,70.91591591591592,0.00020461672565529073
